,gld44,Plumes/Compressibility,,2013.2,213,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,Extended Boussinesq (Di=1.56),No reference state defined
,gld43,Perm anomaly,Case 21 (F - in revision),2013.2,213,230,,,1.45E+08,"1,1,1,10",12,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,Date line problem in total topography (pre-processing issue)
,gld42,Perm anomaly,Case 22 (F - in revision),2013.2,213,230,,,8.60E+09,"1,1,1,10",12,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,Date line problem in total topography (pre-processing issue)
,gld41,SE Asia,,2013.2,213,230,,,8.60E+08,"1,0.1,1,10",12,Yes,50,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,No,,Date line problem in total topography (pre-processing issue)
,gld40,SE Asia,,2013.2,213,230,,,8.60E+08,"1,1,1,10",12,Yes,100,Yes,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,Date line problem in total topography (pre-processing issue)
,gld39,SE Asia,,2013.2,213,230,,,8.60E+08,"1,1,1,10",12,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,No,,Date line problem in total topography (pre-processing issue)
,gld38R150,SE Asia,,2013.2,213,150,,gld38,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1933,-0.208,-0.211,-0.192,0.5,350,Yes,No,,Date line problem in total topography (pre-processing issue)
,gld38,SE Asia,,2013.2,213,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,No,,Date line problem in total topography (pre-processing issue)
,gld37,Arctic,,2013.1,206,230,,,8.60E+08,"1,0.1,1,10",12,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,
,gld36,Arctic,Case 26 (F - in revision),2013.1,206,230,,,8.60E+08,"1,0.1,1,10",12,Yes,100,Yes,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.2,350,Yes,Yes,,
,gld35,Arctic,,2013.1,206,230,,,8.60E+08,"1,0.1,1,10",12,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.2,350,Yes,Yes,,
,gld34,Arctic,C5 (S14),2013.1,206,230,,,8.60E+08,"1,1,1,10",12,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.2,350,Yes,Yes,,
,gld33,Arctic,,2013.1,206,230,,,8.60E+08,"1,1,1,10",12,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,
,gld32,Arctic,,2012.2,,200,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1933,-0.181,-0.179,-0.162,0.2,350,Yes,Yes,,
,gld31,Perm anomaly,C4 (S14) - Case 18 (F - in revision),2013.1,206,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,
,gld30R150,SATL,HH3 (F14),2012.2,,150,,gld30,8.60E+08,"1,0.1,1,100",3,Yes,10,No,"1,750",660,-1.1933,-0.181,-0.179,-0.162,0.5,350,Yes,Yes,,
,gld30,SATL,,2012.2,,200,,,8.60E+08,"1,0.1,1,100",3,Yes,10,No,"1,750",660,-1.1933,-0.181,-0.179,-0.162,0.5,350,Yes,Yes,,
,gld29,Arctic,,2013.1,,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.1575,-0.208,-0.211,-0.192,0.2,350,Yes,Yes,,
,gld28,Arctic,,2013.1,,230,,,8.60E+08,"1,0.1,1,100",3,Yes,10,No,"1,750",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,
,gld27,Net rotation,Case 19 (F - in revision),2013.1,,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,New reference frame (TS08),
,gld26,Net rotation,,2013.1,183,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,Removing NR from reconstruction,
,gld25,Net rotation,,2013.1,183,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.1575,-0.208,-0.211,-0.192,N/A,350,Yes,Yes,Removing NR from reconstruction,
,gld24,Arctic,C3 (S14),2013.1,183,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,Removing NR from reconstruction,
,gld23R150,Net rotation,,2012.2,,150,,gld23,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,Removing NR within CitcomS is inconsistent with data assimilation.
,gld23,Net rotation,,2012.2,,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,,Removing NR within CitcomS is inconsistent with data assimilation.
,gld22R150,Net rotation,,2012.2,,150,,gld22,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,N/A,350,Yes,Yes,,Removing NR within CitcomS is inconsistent with data assimilation.
,gld22,Net rotation,,2012.2,,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,N/A,350,Yes,Yes,,Removing NR within CitcomS is inconsistent with data assimilation.
,gld21R150,SATL,,2012.2,,150,,gld21,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.08,-0.181,-0.179,-0.192,0.5,350,Yes,Yes,,
,gld21,SATL,HH2 (F14)/C2 (S14),2012.2,,200,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.08,-0.181,-0.179,-0.192,0.5,350,Yes,Yes,,
,gld20R150,SATL,HH1R (F14),2012.2,,150,,gld20,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.1933,-0.181,-0.179,-0.162,0.5,350,Yes,Yes,,
,gld20,SATL,HH1 (F14),2012.2,,200,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.08,-0.181,-0.179,-0.162,0.5,350,Yes,Yes,Changed radial mesh refinement (G5),
,gld19,SATL,HC2 (F14),2012.1,,200,,,8.60E+08,"1,1,1,40",3,Yes,100,No,"1,750",660,-1.08,-0.181,-0.179,-0.162,N/A,100,Yes,Yes,,
,gld18,SATL,HC1 (F14),2012.1,,200,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.08,-0.181,-0.179,-0.162,N/A,100,Yes,Yes,,
,gld17,SATL,TC9 (F14),2011.2,,200,,,8.60E+08,"1,1,1,10",13,Yes,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,200,Yes,Yes,,
,gld16,SATL,TC7 (F14),2011.2,,200,,,8.60E+08,"1,1,1,10",12,Yes,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,200,Yes,Yes,,
,gld15,SATL,TC8 (F14),2011.2,,200,,,8.60E+08,"1,1,1,10",11,Yes,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,200,Yes,Yes,,
,gld14,SATL,TC6 (F14),2011.2,,200,,,8.60E+08,"1,1,1,50",3,Yes,100,Yes,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,100,Yes,Yes,,
,gld13,SATL,TC5 (F14),2011.2,,200,,,8.60E+08,"1,1,1,50",3,No,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,,Yes,Yes,,Major Rayleigh-Taylor instabilities early in the run
,gld12,SATL,TC4 (F14),2011.2,,200,,,8.60E+08,"1,1,5,50",3,Yes,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,,Yes,Yes,,
,gld11,SATL,TC3 (F14)/case 2 (F13),2011.2,,200,,,8.60E+08,"1,1,1,50",3,Yes,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,,Yes,Yes,,
,gld10,SATL,TC2 (F14),2011.2,,200,,,8.60E+08,"1,1,1,75",3,Yes,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,,Yes,Yes,,
,gld9R150,SATL,TC1R (F14),2011.2,,150,,gld9,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-1.22,-0.205,-0.179,-0.162,N/A,,Yes,Yes,,
,gld9,SATL,TC1 (F14)/case1 (F13),2011.2,,200,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,750",660,-0.94,-0.205,-0.179,-0.162,N/A,,Yes,Yes,,
,gld5-SC1,India-Eurasia,,,,200,,,8.60E+08,"1,1,1,50",3,No,,No,,,,,,,,,,,,"Lithosphere assimilation too deep, cuts off slabs in assimilation."
,gld4-SC2,India-Eurasia,Alternative,Alternative,,200,,,,"1,1,1,100",3,No,,No,,,,,,,,,,,,"Lithosphere assimilation too deep, cuts off slabs in assimilation."
,gld4-SC1,India-Eurasia,Conventional,Conventional,,200,,,,"1,1,1,100",3,No,,No,,,,,,,,,,,,"Lithosphere assimilation too deep, cuts off slabs in assimilation."
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,*20 used to be 3,,,,,,,,,,,,,,,
,,,,,,,,,,,*22 used to be 12,,,,,,,,,,,,,,,
